prefix_bits,prefix_hex,vendor,registry
24,000083,TADPOLE TECHNOLOGY PLC,MA-L
24,000084,SUPERNET,MA-L
24,000085,CANON INC.,MA-L
24,000086,MEGAHERTZ CORPORATION,MA-L
24,000087,"HITACHI, LTD.",MA-L
24,000088,Brocade Communications Systems LLC,MA-L
24,000089,CAYMAN SYSTEMS INC.,MA-L
24,00008A,DATAHOUSE INFORMATION SYSTEMS,MA-L
24,00008B,INFOTRON,MA-L
24,00008C,Alloy Computer Products (Australia) Pty Ltd,MA-L
24,00008D,Cryptek Inc.,MA-L
24,00008E,"SOLBOURNE COMPUTER, INC.",MA-L
24,00008F,Raytheon,MA-L
24,000090,MICROCOM,MA-L
24,000091,ANRITSU CORPORATION,MA-L
24,000092,COGENT DATA TECHNOLOGIES,MA-L
24,000093,PROTEON INC.,MA-L
24,000094,ASANTE TECHNOLOGIES,MA-L
24,000095,SONY TEKTRONIX CORP.,MA-L
24,000096,MARCONI ELECTRONICS LTD.,MA-L
24,000097,Dell EMC,MA-L
24,000098,CROSSCOMM CORPORATION,MA-L
24,000099,"MTX, INC.",MA-L
24,00009A,RC COMPUTER A/S,MA-L
24,00009B,"INFORMATION INTERNATIONAL, INC",MA-L
24,00009C,ROLM MIL-SPEC COMPUTERS,MA-L
24,00009D,LOCUS COMPUTING CORPORATION,MA-L
24,00009E,MARLI S.A.,MA-L
24,00009F,AMERISTAR TECHNOLOGIES INC.,MA-L
24,0000A0,"SANYO Electric Co., Ltd.",MA-L
24,0000A1,MARQUETTE ELECTRIC CO.,MA-L
24,0000A2,Bay Networks,MA-L
24,0000A3,NETWORK APPLICATION TECHNOLOGY,MA-L
24,0000A4,ACORN COMPUTERS LIMITED,MA-L
24,0000A5,Tattile SRL,MA-L
24,0000A6,NETWORK GENERAL CORPORATION,MA-L
24,0000A7,NETWORK COMPUTING DEVICES INC.,MA-L
24,0000A8,Stratus Technologies,MA-L
24,0000A9,NETWORK SYSTEMS CORP.,MA-L
24,0000AA,XEROX CORPORATION,MA-L
24,0000AB,LOGIC MODELING CORPORATION,MA-L
24,0000AC,CONWARE COMPUTER CONSULTING,MA-L
24,0000AD,BRUKER INSTRUMENTS INC.,MA-L
24,0000AE,DASSAULT ELECTRONIQUE,MA-L
24,0000AF,"Canberra Industries, Inc.",MA-L
24,0000B0,RND-RAD NETWORK DEVICES,MA-L
24,0000B1,Alpha Micro,MA-L
24,0000B2,"TELEVIDEO SYSTEMS, INC.",MA-L
24,0000B3,CIMLINC INCORPORATED,MA-L
24,0000B4,Edimax Technology Co. Ltd.,MA-L
24,0000B5,DATABILITY SOFTWARE SYS. INC.,MA-L
24,0000B6,MICRO-MATIC RESEARCH,MA-L
24,0000B7,DOVE COMPUTER CORPORATION,MA-L
24,0000B8,"SEIKOSHA CO., LTD.",MA-L
24,0000B9,MCDONNELL DOUGLAS COMPUTER SYS,MA-L
24,0000BA,"SIIG, INC.",MA-L
24,0000BB,TRI-DATA,MA-L
24,0000BC,Rockwell Automation,MA-L
24,0000BD,"RYOSEI, Ltd.",MA-L
24,0000BE,THE NTI GROUP,MA-L
24,0000BF,SYMMETRIC COMPUTER SYSTEMS,MA-L
24,0000C0,WESTERN DIGITAL CORPORATION,MA-L
24,0000C1,Madge Ltd.,MA-L
24,0000C2,INFORMATION PRESENTATION TECH.,MA-L
24,0000C3,Harris Corporation,MA-L
24,0000C4,WATERS DIV. OF MILLIPORE,MA-L
24,0000C5,Commscope,MA-L
24,0000C6,EON SYSTEMS,MA-L
24,0000C7,ARIX CORPORATION,MA-L
24,0000C8,ALTOS COMPUTER SYSTEMS,MA-L
24,0000C9,Emulex Corporation,MA-L
24,0000CA,Commscope,MA-L
24,0000CB,COMPU-SHACK ELECTRONIC GMBH,MA-L
24,0000CC,"DENSAN CO., LTD.",MA-L
24,0000CD,Allied Telesis Labs Ltd,MA-L
24,0000CE,MEGADATA CORP.,MA-L
24,0000CF,HAYES MICROCOMPUTER PRODUCTS,MA-L
24,0000D0,DEVELCON ELECTRONICS LTD.,MA-L
24,0000D1,ADAPTEC INCORPORATED,MA-L
24,0000D2,"SBE, INC.",MA-L
24,0000D3,WANG LABORATORIES INC.,MA-L
24,0000D4,PURE DATA LTD.,MA-L
24,0000D5,MICROGNOSIS INTERNATIONAL,MA-L
24,0000D6,PUNCH LINE HOLDING,MA-L
24,0000D7,DARTMOUTH COLLEGE,MA-L
24,0000D8,"Novell, Inc.",MA-L
24,0000D9,NIPPON TELEGRAPH & TELEPHONE,MA-L
24,0000DA,ATEX,MA-L
24,0000DB,British Telecommunications plc,MA-L
24,0000DC,HAYES MICROCOMPUTER PRODUCTS,MA-L
24,0000DD,TCL INCORPORATED,MA-L
24,0000DE,CETIA,MA-L
24,0000DF,BELL & HOWELL PUB SYS DIV,MA-L
24,0000E0,QUADRAM CORP.,MA-L
24,0000E1,GRID SYSTEMS,MA-L
24,0000E2,ACER TECHNOLOGIES CORP.,MA-L
24,0000E3,INTEGRATED MICRO PRODUCTS LTD,MA-L
24,0000E4,IN2 GROUPE INTERTECHNIQUE,MA-L
24,0000E5,SIGMEX LTD.,MA-L
24,0000E6,APTOR PRODUITS DE COMM INDUST,MA-L
24,0000E7,Star Gate Technologies,MA-L
24,0000E8,ACCTON TECHNOLOGY CORP.,MA-L
24,0000E9,"ISICAD, INC.",MA-L
24,0000EA,UPNOD AB,MA-L
24,0000EB,MATSUSHITA COMM. IND. CO. LTD.,MA-L
24,0000EC,MICROPROCESS,MA-L
24,0000ED,APRIL,MA-L
24,0000EE,"NETWORK DESIGNERS, LTD.",MA-L
24,0000EF,KTI,MA-L
24,0000F0,"Samsung Electronics Co.,Ltd",MA-L
24,0000F1,MAGNA COMPUTER CORPORATION,MA-L
24,0000F2,SPIDER COMMUNICATIONS,MA-L
24,0000F3,GANDALF DATA LIMITED,MA-L
24,0000F4,"Allied Telesis, Inc.",MA-L
24,0000F5,DIAMOND SALES LIMITED,MA-L
24,0000F6,APPLIED MICROSYSTEMS CORP.,MA-L
24,0000F7,YOUTH KEEP ENTERPRISE CO LTD,MA-L
24,0000F8,DIGITAL EQUIPMENT CORPORATION,MA-L
24,0000F9,QUOTRON SYSTEMS INC.,MA-L
24,0000FA,MICROSAGE COMPUTER SYSTEMS INC,MA-L
24,0000FB,RECHNER ZUR KOMMUNIKATION,MA-L
24,0000FC,MEIKO,MA-L
24,0000FD,HIGH LEVEL HARDWARE,MA-L
24,0000FE,"Annapolis Micro Systems, Inc.",MA-L
24,0000FF,CAMTEC ELECTRONICS LTD.,MA-L
24,000100,EQUIP'TRANS,MA-L
24,000101,Private,MA-L
24,000102,3COM,MA-L
24,000103,3COM,MA-L
24,000104,"DVICO Co., Ltd.",MA-L
24,000105,Beckhoff Automation GmbH,MA-L
24,000106,Tews Datentechnik GmbH,MA-L
24,000107,Leiser GmbH,MA-L
24,000108,"AVLAB Technology, Inc.",MA-L
24,000109,"Nagano Japan Radio Co., Ltd.",MA-L
24,00010A,CIS TECHNOLOGY INC.,MA-L
24,00010B,"Space CyberLink, Inc.",MA-L
24,00010C,System Talks Inc.,MA-L
24,00010D,Teledyne DALSA Inc.,MA-L
24,00010E,"Bri-Link Technologies Co., Ltd",MA-L
24,00010F,Brocade Communications Systems LLC,MA-L
24,000110,Gotham Networks,MA-L
24,000111,iDigm Inc.,MA-L
24,000112,Shark Multimedia Inc.,MA-L
24,000113,OLYMPUS CORPORATION,MA-L
24,000114,"KANDA TSUSHIN KOGYO CO., LTD.",MA-L
24,000115,EXTRATECH CORPORATION,MA-L
24,000116,"Netspect Technologies, Inc.",MA-L
24,000117,Canal +,MA-L
24,000118,"EZ Digital Co., Ltd.",MA-L
24,000119,RTUnet (Australia),MA-L
24,00011A,Hoffmann und Burmeister GbR,MA-L
24,00011B,"Unizone Technologies, Inc.",MA-L
24,00011C,Universal Talkware Corporation,MA-L
24,00011D,Centillium Communications,MA-L
24,00011E,"Precidia Technologies, Inc.",MA-L
24,00011F,"RC Networks, Inc.",MA-L
24,000120,OSCILLOQUARTZ S.A.,MA-L
24,000121,"WatchGuard Technologies, Inc.",MA-L
24,000122,"Trend Communications, Ltd.",MA-L
24,000123,Schneider Electric Japan Holdings Ltd.,MA-L
24,000124,Acer Incorporated,MA-L
24,000125,"YAESU MUSEN CO., LTD.",MA-L
24,000126,PAC Labs,MA-L
24,000127,OPEN Networks Pty Ltd,MA-L
24,000128,"EnjoyWeb, Inc.",MA-L
24,000129,DFI Inc.,MA-L
24,00012A,Telematica Sistems Inteligente,MA-L
24,00012B,"TELENET Co., Ltd.",MA-L
24,00012C,"Aravox Technologies, Inc.",MA-L
24,00012D,Komodo Technology,MA-L
24,00012E,PC Partner Ltd.,MA-L
24,00012F,Twinhead International Corp,MA-L
24,000130,Extreme Networks Headquarters,MA-L
24,000131,"Bosch Security Systems, Inc.",MA-L
24,000132,Dranetz - BMI,MA-L
24,000133,KYOWA Electronic Instruments C,MA-L
24,000134,Selectron Systems AG,MA-L
24,000135,KDC Corp.,MA-L
24,000136,CyberTAN Technology Inc.,MA-L
24,000137,IT Farm Corporation,MA-L
24,000138,XAVi Technologies Corp.,MA-L
24,000139,Point Multimedia Systems,MA-L
24,00013A,"SHELCAD COMMUNICATIONS, LTD.",MA-L
24,00013B,BNA SYSTEMS,MA-L
24,00013C,TIW SYSTEMS,MA-L
24,00013D,RiscStation Ltd.,MA-L
24,00013E,Ascom Tateco AB,MA-L
24,00013F,"Neighbor World Co., Ltd.",MA-L
24,000140,Sendtek Corporation,MA-L
24,000141,CABLE PRINT,MA-L
24,000142,"Cisco Systems, Inc",MA-L
24,000143,"Cisco Systems, Inc",MA-L
24,000144,Dell EMC,MA-L
24,000145,"WINSYSTEMS, INC.",MA-L
24,000146,"Tesco Controls, Inc.",MA-L
24,000147,"Zhone Technologies, Inc.",MA-L
24,000148,X-traWeb Inc.,MA-L
24,000149,TDT AG,MA-L
24,00014A,Sony Corporation,MA-L
24,00014B,"Ennovate Networks, Inc.",MA-L
24,00014C,Berkeley Process Control,MA-L
24,00014D,"Shin Kin Enterprises Co., Ltd",MA-L
24,00014E,"WIN Enterprises, Inc.",MA-L
24,00014F,Adtran Inc,MA-L
24,000150,"GILAT COMMUNICATIONS, LTD.",MA-L
24,000151,Ensemble Communications,MA-L
24,000152,CHROMATEK INC.,MA-L
24,000153,ARCHTEK TELECOM CORPORATION,MA-L
24,000154,G3M Corporation,MA-L
24,000155,"Promise Technology, Inc.",MA-L
24,000156,"FIREWIREDIRECT.COM, INC.",MA-L
24,000157,"SYSWAVE CO., LTD",MA-L
24,000158,Electro Industries/Gauge Tech,MA-L
24,000159,S1 Corporation,MA-L
24,00015A,Digital Video Broadcasting,MA-L
24,00015B,ITALTEL S.p.A/RF-UP-I,MA-L
24,00015C,CADANT INC.,MA-L
24,00015D,Oracle Corporation,MA-L
24,00015E,"BEST TECHNOLOGY CO., LTD.",MA-L
24,00015F,DIGITAL DESIGN GmbH,MA-L
24,000160,"ELMEX Co., LTD.",MA-L
24,000161,Meta Machine Technology,MA-L
24,000162,"Cygnet Technologies, Inc.",MA-L
24,000163,"Cisco Systems, Inc",MA-L
24,000164,"Cisco Systems, Inc",MA-L
24,000165,AirSwitch Corporation,MA-L
24,000166,TC GROUP A/S,MA-L
24,000167,HIOKI E.E. CORPORATION,MA-L
24,000168,VITANA CORPORATION,MA-L
24,000169,Celestix Networks Pte Ltd.,MA-L
24,00016A,ALITEC,MA-L
24,00016B,"LightChip, Inc.",MA-L
24,00016C,FOXCONN,MA-L
24,00016D,CarrierComm Inc.,MA-L
24,00016E,Conklin Corporation,MA-L
24,00016F,Inkel Corp.,MA-L
24,000170,ESE Embedded System Engineer'g,MA-L
24,000171,Allied Data Technologies,MA-L
24,000172,"TechnoLand Co., LTD.",MA-L
24,000173,AMCC,MA-L
24,000174,CyberOptics Corporation,MA-L
24,000175,Radiant Communications Corp.,MA-L
24,000176,Orient Silver Enterprises,MA-L
24,000177,EDSL,MA-L
24,000178,"MARGI Systems, Inc.",MA-L
24,000179,"WIRELESS TECHNOLOGY, INC.",MA-L
24,00017A,"Chengdu Maipu Electric Industrial Co., Ltd.",MA-L
24,00017B,Heidelberger Druckmaschinen AG,MA-L
24,00017C,AG-E GmbH,MA-L
24,00017D,ThermoQuest,MA-L
24,00017E,"ADTEK System Science Co., Ltd.",MA-L
24,00017F,Experience Music Project,MA-L
24,000180,"AOpen, Inc.",MA-L
24,000181,Nortel Networks,MA-L
24,000182,DICA TECHNOLOGIES AG,MA-L
24,000183,ANITE TELECOMS,MA-L
24,000184,SIEB & MEYER AG,MA-L
24,000185,"Hitachi Aloka Medical, Ltd.",MA-L
24,000186,Uwe Disch,MA-L
24,000187,I2SE GmbH,MA-L
24,000188,LXCO Technologies ag,MA-L
24,000189,"Refraction Technology, Inc.",MA-L
24,00018A,ROI COMPUTER AG,MA-L
24,00018B,"NetLinks Co., Ltd.",MA-L
24,00018C,Mega Vision,MA-L
24,00018D,AudeSi Technologies,MA-L
24,00018E,Logitec Corporation,MA-L
24,00018F,"Kenetec, Inc.",MA-L
24,000190,SMK-M,MA-L
24,000191,SYRED Data Systems,MA-L
24,000192,Texas Digital Systems,MA-L
24,000193,"Hanbyul Telecom Co., Ltd.",MA-L
24,000194,Capital Equipment Corporation,MA-L
24,000195,"Sena Technologies, Inc.",MA-L
24,000196,"Cisco Systems, Inc",MA-L
24,000197,"Cisco Systems, Inc",MA-L
24,000198,Darim Vision,MA-L
24,000199,HeiSei Electronics,MA-L
24,00019A,LEUNIG GmbH,MA-L
24,00019B,"Kyoto Microcomputer Co., Ltd.",MA-L
24,00019C,Lumentum,MA-L
24,00019D,"E-Control Systems, Inc.",MA-L
24,00019E,"ESS Technology, Inc.",MA-L
24,00019F,ReadyNet,MA-L
24,0001A0,Infinilink Corporation,MA-L
24,0001A1,"Mag-Tek, Inc.",MA-L
24,0001A2,"Logical Co., Ltd.",MA-L
24,0001A3,"GENESYS LOGIC, INC.",MA-L
24,0001A4,Microlink Corporation,MA-L
24,0001A5,"Nextcomm, Inc.",MA-L
24,0001A6,Scientific-Atlanta Arcodan A/S,MA-L
24,0001A7,UNEX TECHNOLOGY CORPORATION,MA-L
24,0001A8,"Welltech Computer Co., Ltd.",MA-L
24,0001A9,BMW AG,MA-L
24,0001AA,"Airspan Communications, Ltd.",MA-L
24,0001AB,Main Street Networks,MA-L
24,0001AC,"Sitara Networks, Inc.",MA-L
24,0001AD,"Coach Master International d.b.a. CMI Worldwide, Inc.",MA-L
24,0001AE,Trex Enterprises,MA-L
24,0001AF,Artesyn Embedded Technologies,MA-L
24,0001B0,"Fulltek Technology Co., Ltd.",MA-L
24,0001B1,General Bandwidth,MA-L
24,0001B2,"Digital Processing Systems, Inc.",MA-L
24,0001B3,Precision Electronic Manufacturing,MA-L
24,0001B4,"Wayport, Inc.",MA-L
24,0001B5,"Turin Networks, Inc.",MA-L
24,0001B6,"SAEJIN T&M Co., Ltd.",MA-L
24,0001B7,"Centos, Inc.",MA-L
24,0001B8,"Netsensity, Inc.",MA-L
24,0001B9,SKF (U.K.) Limited,MA-L
